high low span,volume change,open less than close,to buy
0.016555982,-0.878082083,1,0
0.018948941,-0.057948034,1,0
0.013305653,0.029838975,1,0
0.017600303,0.063254115,1,0
0.010848877,-0.201613016,1,0
0.013320556,0.49958038,1,0
0.030975261,0.511211885,1,0
0.038279026,-0.393462957,1,0
0.023575848,-0.200071739,0,0
0.017941051,-0.422992733,0,0
0.021643202,0.152577479,0,0
0.022083024,-0.385267983,1,0
0.014907765,-0.143073376,0,0
0.017256255,0.178704951,0,0
0.012716888,-0.326794617,0,0
0.015628345,0.022275764,0,0
0.011998703,-0.172976362,0,0
0.036639362,0.623675219,1,0
0.018448962,-0.719079449,0,1
0.029186195,0.275335589,0,0
0.0180768,-0.305706581,0,0
0.013959391,-0.11541303,0,0
0.011358811,-0.381717786,0,0
0.009556816,0.049455742,0,0
0.015762729,0.157624642,0,0
0.012768131,-0.081913909,0,0
0.016362176,0.090624818,0,0
0.02081466,0.314018943,1,0
0.012207275,-0.550061555,1,0
0.015822151,0.141015485,1,0
0.012289255,-0.450203911,1,0
0.012382317,0.274144722,0,0
0.008374183,-0.409989753,0,1
0.044002839,-0.223779461,0,0
0.009189135,-0.039405429,1,0
0.008894279,-0.074890118,1,0
0.015353738,0.21627557,1,0
0.008759486,0.161182869,1,0
0.020752003,0.165898897,1,0
0.017699569,-0.190672701,0,0
0.0142063,-0.084452295,1,0
0.017221937,0.060063176,1,0
0.014161334,0.486514842,0,0
0.016193481,-0.772881394,1,0
0.017453863,0.031914859,0,0
0.016117216,-0.216544357,0,0
0.01082206,0.093704947,1,0
0.021466809,0.571908027,1,0
0.016840504,-0.615354389,0,0
0.016241051,-0.152733023,0,0
0.009745763,-0.107139343,0,0
0.015376569,-0.019383946,1,0
0.011836479,-0.376915871,1,0
0.009895779,0.060590409,1,0
0.013503611,0.104813421,0,0
0.009172399,-0.231091255,0,0
0.008688457,0.130483244,0,0
0.009486492,-0.215052315,0,0
0.005953603,0.01541403,1,0
0.008568184,0.066611178,0,0
0.016904545,0.334716385,0,0
0.008098805,-0.291402924,1,0
0.015326054,0.174190282,1,0
0.006608591,-0.534650279,0,0
0.007252901,0.094993418,1,0
0.018807201,0.19650341,1,0
0.010034462,-0.154990828,1,0
0.019724676,0.298870208,1,0
0.01603393,0.281951479,0,1
0.015541525,0.39098022,1,0
0.015622005,-1.316157334,1,0
0.008348527,-0.437596002,0,0
0.016407355,0.273376081,0,0
0.019812404,-0.128674103,0,0
0.010114378,-0.119655596,1,0
0.006800793,-0.101938293,0,0
0.013676963,0.324134385,0,0
