high low span,volume change,open less than close,to buy
0.032342887,0,1,0
0.017930569,-0.360558904,1,0
0.021091268,0.243408863,1,0
0.029559118,0.038573221,1,0
0.044143104,0.233391719,0,1
0.017136003,-0.493739476,0,0
0.014357824,-0.274533834,1,0
0.018886007,0.255001964,0,0
0.014862522,-10.26130486,1,0
0.012475927,-0.123344486,1,0
0.010413139,0.139767311,1,0
0.015147625,0.156075883,1,0
0.017759553,-0.025154108,0,0
0.012379043,0.000174466,0,0
0.010322083,-0.577062038,0,0
0.015126912,0.262914208,0,1
0.008425219,-0.032493227,1,0
0.017282683,0.043440646,1,0
0.059526882,0.190101854,1,0
0.018251988,0.112447572,1,0
0.024904836,0.302193135,0,0
0.013143643,-0.599933305,0,1
0.011385372,-0.473359391,0,0
0.019323394,0.475096778,0,1
0.0124538,-0.375567808,1,0
0.013905503,0.227015187,0,0
0.013645224,0.084191013,1,0
0.016546527,0.113719114,1,0
0.015996685,0.024357378,1,0
0.016769051,0.116707388,0,0
0.011492942,-0.636958431,1,0
0.021114587,0.45998454,0,0
0.022706955,0.718261798,1,0
0.019782214,-0.089597485,1,0
0.018995434,0.292806195,1,0
0.023013338,-0.038385934,1,0
0.020857474,0.030883683,0,0
0.016721122,-0.092773454,0,1
0.008306888,-0.580980801,1,0
0.013068823,0.34449003,0,1
0.013088574,-4.571547176,1,0
0.025232019,0.275035674,1,0
0.014959626,-0.443432512,1,0
0.011849957,0.024756765,1,0
0.014052936,0.1418489,1,0
0.012999561,0.115775205,0,1
0.01641359,-0.188001437,0,0
0.013188319,0.22054739,0,0
0.010359316,-0.159549519,1,0
0.012462648,-0.165426867,1,0
0.007798293,0.119168745,1,0
0.014537902,0.170324557,1,0
0.011021363,-0.043805727,1,0
0.016282945,-0.06474795,1,0
0.010173979,-0.40707571,1,0
0.010425629,0.319449633,0,0
0.023046092,0.782348238,1,0
0.023185484,-0.065907719,0,0
0.027300303,0.064022271,1,0
0.0415,0.329638041,1,0
0.03043022,-0.29891131,1,0
0.018008475,-0.020201945,1,0
0.023231257,0.082988752,1,0
0.025613661,-0.133297143,0,0
0.021124911,-39.07849616,1,0
0.013204512,-0.057838454,0,0
0.022125847,0.214529899,0,0
0.02123356,0.234709014,0,0
0.039083987,0.447726142,0,1
0.008535469,-2.401780795,0,0
0.009848383,-0.584458221,0,0
0.018701969,0.381182178,0,1
0.014242271,0.612420236,1,0
0.013643049,0.05643166,1,0
0.018506279,-0.007653485,1,0
0.020896287,0.276183206,1,0
0.0164583,-0.107729041,0,0
0.008585726,-0.254992805,0,0
0.012612518,-0.2151094,1,0
0.020264224,0.337005369,0,1
0.018828295,-1.023100271,1,0
0.013235517,-0.111015869,0,0
0.023880143,0.273070714,1,0
0.027545407,0.19214112,1,0
0.011694083,0.082854083,0,0
0.012520671,-0.205613584,0,0
0.008026549,-0.290845332,0,0
0.015112962,0.254716935,0,0
0.022159461,0.797428624,1,0
0.014745011,-0.27038242,0,0
0.022222222,0.082965148,1,0
0.024224157,0.259580941,1,0
0.031868385,0.098240873,0,1
0.019527702,-0.220234705,0,0
0.017885088,-0.181030368,1,0
0.027056297,0.240119512,0,0
0.017683147,-4.322982657,1,0
0.022461223,0.283236575,1,0
0.009450811,-0.3287338,1,0
0.012861736,-0.031801447,1,0
0.010346926,0.21170262,0,0
0.018223408,-0.079858538,0,0
0.012489592,-0.061128926,0,1
0.056118176,0.68336182,0,1
0.009710517,-0.12249034,0,0
0.017570898,-0.216830395,1,0
0.015821302,-0.046301869,1,0
0.02524148,0.351368545,1,0
0.014653391,-0.100836205,1,0
0.016506229,-0.066456451,0,1
0.02465907,-0.056427956,0,0
0.012382184,-0.040281186,0,0
0.014274616,0.237222842,1,0
0.01848249,-0.00678848,1,0
0.028653013,0.040859282,1,0
0.0133,-0.318617046,1,0
0.019207683,0.152230532,1,0
0.010787706,-0.246186725,1,0
0.012994924,-0.251031537,1,0
0.012754577,0.275028261,0,0
0.014064629,-3.28402385,1,0
0.016498399,0.067158496,1,0
0.006545745,-0.084547921,1,0
0.007563993,-0.121369392,1,0
0.008954623,-0.192451621,1,0
0.014021284,0.124655644,1,0
0.018294519,-0.366541453,1,0
0.009437812,0.082076533,0,0
0.014705,-0.821485532,1,0
0.023615833,0.436692645,0,0
0.018004272,-0.132890151,1,0
0.02136466,0.15621237,1,0
0.013621595,-0.005400494,1,0
0.006948357,-0.058185298,0,0
0.014136256,-0.420860451,0,0
0.020446097,0.32442376,0,1
0.012854717,0.419249828,1,0
0.012401768,0.227888555,1,0
0.014567266,-0.160010379,1,0
0.0149852,-0.048377804,1,0
0.017381012,-0.016381807,1,0
0.014139629,-0.290543823,0,0
0.007906627,0.045561712,0,0
0.020413306,0.336480748,0,1
0.030365297,0.611499912,1,0
0.018541699,-0.577174216,1,0
0.013192402,0.139098111,1,0
0.021336473,0.151671249,0,0
0.044726302,0.22643948,0,1
0.010470569,-0.425450005,0,0
0.00779448,-0.583326307,1,0
0.010805186,0.260663819,0,0
0.010430404,-4.943967768,1,0
0.011885992,0.21439846,1,0
0.011726306,0.393998041,1,0
0.03516295,-0.085870868,1,0
0.019240636,0.354775053,0,0
0.015426497,-0.312043306,0,1
0.014130709,-0.439190965,0,0
0.040065931,0.389356022,0,1
0.008970177,0.582711962,1,0
0.014165301,0.182520515,1,0
0.010240113,-0.143578081,0,0
0.016812692,-0.16068207,1,0
0.014790076,0.185017542,1,0
0.012764933,-0.000165088,0,0
0.008830549,-0.305293484,1,0
0.013422819,0.355131706,0,0
0.015077687,-4.817349747,1,0
0.012572174,-0.206821853,1,0
0.017427153,-0.030832609,1,0
0.011893389,0.061500809,1,0
0.015028902,0.190637571,0,0
0.024244485,0.170113855,0,0
0.009493971,-1.174237761,1,0
0.010653614,0.337395154,0,1
0.011672315,-6.428775304,1,0
0.016724213,0.310132175,1,0
0.021444633,-0.125541188,1,0
0.018317882,0.374865822,1,0
0.023070375,-0.362106762,1,0
0.014942693,0.293206777,0,1
0.017456359,-0.396340377,0,0
0.016164461,-0.030842548,0,0
0.008550889,-1.034767329,1,0
0.012835118,0.083304589,1,0
0.014083435,0.152121136,1,0
0.016773595,0.009259035,1,0
0.017892953,0.11649569,0,0
0.014885194,0.2371688,0,1
0.017951713,-0.292968464,0,0
0.01143122,0.017345341,0,1
0.013477975,0.730290937,0,0
0.016114983,0.064956774,1,0
