,time,ema(4),high low span,high above ema,close above ema,close relative to high,volume change,volume relative to span,to buy,Prediction
0,0.44,1.003798569,0.005694703000000001,-0.000976415,-0.0037985690000000003,0.0028221540000000003,0.244883982,0.0232547,0.000856725,0.002318361885
1,0.45,1.004533613,0.004805504,6.96e-05,-0.004533613,0.004603167,-0.498764754,-0.00963481,0.000202337,0.00344530725
2,0.46,1.004783941,0.00538029,-0.001156813,-0.004783941,0.003627128,0.402638024,0.013362598,-2.7399999999999995e-05,0.0007979627583333332
3,0.47,1.003560882,0.003252198,-0.002442939,-0.003560882,0.001117943,-0.510835229,-0.006366431999999999,0.00254078,0.003979143066666667
4,0.48,1.000625732,0.005423626,-0.000600388,-0.0006257319999999999,2.5300000000000002e-05,-0.30126700300000003,-0.018002721,0.000785665,0.003448026776666667
5,0.49,0.999995282,0.001975584,0.000156686,4.72e-06,0.000151968,-0.511998428,-0.003858574,0.001469024,0.00082286964500777
6,0.5,0.9991622090000001,0.002731617,0.000913164,0.0008377910000000001,7.54e-05,-0.024083867999999998,-0.11342102800000001,0.000764853,0.0016334783070238094
7,0.51,0.9992551190000001,0.001664096,0.00110541,0.0007448810000000001,0.000360529,-0.04453352,-0.037367275,0.000609815,0.0009719219307342656
8,0.52,1.000023345,0.001698295,0.001371321,-2.33e-05,0.0013946660000000001,-0.103732344,-0.016371891,0.00182177,0.0008097485031730769
9,0.53,0.999013681,0.002020814,0.001137881,0.000986319,0.000151561,-0.295833173,-0.006830926,0.0,0.0008768185379917184
10,0.54,0.9998324609999999,0.001112235,0.000875325,0.00016753900000000002,0.0007077860000000001,-0.138654554,-0.008021623,7.58e-05,0.0006974387802622723
11,0.55,1.000020815,0.00068214,0.000257299,-2.08e-05,0.000278115,0.14085876,0.004842723,0.0007079289999999999,0.0005935756263799908
12,0.56,0.9998001809999999,0.000859324,0.0005536580000000001,0.000199819,0.000353839,-0.011956673000000001,-0.071869796,0.00045493599999999997,0.0004513933122723872
13,0.57,0.999667923,0.0008084889999999999,0.000433138,0.00033207699999999996,0.000101061,-0.029025042,-0.027854882999999997,0.0028297120000000003,0.0005638158699645946
14,0.58,0.998500323,0.002873998,0.00215515,0.001499677,0.0006554730000000001,0.424538029,0.006769707,0.002521051,0.0020467752347222224
15,0.59,0.997774018,0.002716708,0.002527839,0.002225982,0.000301856,-0.025599447999999997,-0.10612368400000001,0.00166021,0.0013983672333333333
16,0.6,0.9976751509999999,0.001757919,0.002329872,0.002324849,5.02e-06,-0.199888645,-0.008794494,0.000205928,0.0007596274404761905
17,0.61,0.9992943879999999,0.0015588070000000002,0.002063283,0.000705612,0.001357671,-0.10866851699999999,-0.014344608,-5.03e-05,0.0003444895118270944
18,0.63,1.000263312,0.001761959,0.00083162,-0.00026331200000000003,0.001094932,0.181532836,0.009706009,0.0013969820000000002,0.0010158653784391534
19,0.64,0.9994412859999999,0.00160901,0.00075984,0.000558714,0.00020112599999999998,-0.449604781,-0.0035787220000000003,0.000452534,0.0007319681025453962
20,0.65,0.999458904,0.001558194,0.00065017,0.000541096,0.00010907399999999999,0.023858331,0.065310258,0.000511188,0.000790544865952381
21,0.66,0.999820965,0.001659125,0.0009331830000000001,0.000179035,0.0007541480000000001,0.400612924,0.004141467,0.000502765,0.00038729501299796497
22,0.44,1.001128988,0.0022391060000000003,0.000908851,-0.001128988,0.0020378379999999997,-0.40845296299999995,-0.00548192,0.000178625,0.0011841790201190475
23,0.45,1.001934325,0.003859826,0.000337199,-0.001934325,0.002271524,0.304286107,0.012684858,0.001638724,0.0015971303174925078
24,0.46,1.000315174,0.002215461,-8.51e-05,-0.000315174,0.000230106,-0.5943558179999999,-0.0037274990000000004,0.00148889,0.0010459111138509318
25,0.47,0.99932695,0.002011162,0.000723329,0.00067305,5.03e-05,-0.265199665,-0.007583576999999999,0.000351953,0.0006824141091677647
26,0.48,0.999626318,0.001206758,0.0007759339999999999,0.00037368199999999996,0.00040225300000000004,-0.15155960699999999,-0.007962265999999999,0.002514079,0.0006951098836305603
27,0.49,0.99944424,0.002638324,0.002515657,0.00055576,0.001959897,0.49293593399999996,0.005352265,0.000301523,0.0006698617753650794
28,0.5,1.000791197,0.002265661,0.001386355,-0.000791197,0.002177552,-0.36456099200000003,-0.006214766,0.000566415,0.0010198343297619047
29,0.51,1.000648002,0.001158339,0.000207155,-0.000648002,0.000855156,-0.37169697,-0.003116353,0.000603343,0.0009767744470959596
30,0.52,1.000117394,0.000805437,3.3600000000000004e-05,-0.000117394,0.00015101899999999999,-0.133460776,-0.006035006999999999,0.0010067960000000001,0.0006125329975766222
31,0.53,0.9999496309999999,0.001207912,0.000855643,5.04e-05,0.000805275,-0.089463333,-0.013501753,0.000150989,0.0006693901061287534
32,0.54,0.9998792040000001,0.001107085,0.000120796,0.000120796,0.0,0.013437231000000001,0.082389398,0.001308374,0.0005133496540318579
33,0.55,0.9993846009999999,0.0014580189999999999,0.001017611,0.000615399,0.000402212,0.15478086900000002,0.009419892,0.000100553,0.0003727034679776175
34,0.56,0.999721217,0.000502841,0.000530204,0.000278783,0.000251421,-0.786341732,-0.000639469,0.000653693,0.0014010328801678698
35,0.57,0.9995011309999999,0.000753845,0.000599382,0.000498869,0.00010051299999999999,0.32601689699999997,0.002312287,0.000150769,0.0002488940262184387
36,0.58,1.000063165,0.000955447,0.0006921410000000001,-6.32e-05,0.0007553060000000001,-0.314401547,-0.003038939,0.001157599,0.0005106929967615998
